method,case,source,control_video,control_sha256,guided_video,guided_sha256,vanilla_rollout_h1,guided_rollout_h1,vanilla_rollout_h5,guided_rollout_h5
"R1 · direct target, one frame",1,00000/164.mp4,rollout1-single-source-5cases/case-1/vanilla-diffusion.mp4,0fa97bf2c6e72cf6c5816f9f9bc70bd2c325b7d567c5e0910896a8c9ffa80703,rollout1-single-source-5cases/case-1/guided-final.mp4,67011cd6694604542e4338eb87b4826e307b892e682b5decd1fec0ef4550d730,0.348152258145308,0.3936383965094765,1.2994590009126972,1.3558949354556722
"R1 · direct target, one frame",2,00000/828.mp4,rollout1-single-source-5cases/case-2/vanilla-diffusion.mp4,c1e09c3742ae5ace249b804278ae6e78fe45ab938d98a9f7dcef48d4088c297d,rollout1-single-source-5cases/case-2/guided-final.mp4,c9a84bbe1006c88f8113ba86336a0fe24606700e17e19959bcf704e09ad8aa53,0.4315891408963208,0.42661624610804255,1.41108825345082,1.5293950158223564
"R1 · direct target, one frame",3,00000/037.mp4,rollout1-single-source-5cases/case-3/vanilla-diffusion.mp4,3e8b9e29a1c31a76a478dd8d16f99c30e24bcf3124e07c536aad091758621d98,rollout1-single-source-5cases/case-3/guided-final.mp4,d06622361c99a340618cbf4c92f0135a94c7e78a5f61f27779f03974beb36150,0.36531239340351584,0.37132488764455107,1.2368238949031716,1.3089762460615522
"R1 · direct target, one frame",4,00000/871.mp4,rollout1-single-source-5cases/case-4/vanilla-diffusion.mp4,62acbd26998bf46711e6eaae35485349c14df553aa114ad56788fc39b8bdec27,rollout1-single-source-5cases/case-4/guided-final.mp4,acf0b0c7adf5ed80f14138ebbf3f58049c5a37981ea300d146f0c368f9ca3279,0.47630039629279614,0.49276465783583023,1.4565934196512722,1.470299251190314
"R1 · direct target, one frame",5,00000/066.mp4,rollout1-single-source-5cases/case-5/vanilla-diffusion.mp4,92a16ba5d85615b878e0d01ff4120fc6318acb35fe4c3f87508462de474eec54,rollout1-single-source-5cases/case-5/guided-final.mp4,32e0a21cd4f654bc4c8793948881cc18fbc2101ffba338d6937aeb3e51b875ab,0.5052730456668403,0.4815464681523127,1.6777511646473051,1.8372689205780288
"R5 · delta, full window",1,00000/164.mp4,late-all-window-accept-case1-v1/vanilla-diffusion.mp4,0fa97bf2c6e72cf6c5816f9f9bc70bd2c325b7d567c5e0910896a8c9ffa80703,late-all-window-accept-case1-v1/guided-final.mp4,8671e9d6e470bc947732b7d3dab62217447cea8ac2fdf7ca841f9d1388bbb7ae,0.348152258145308,0.37964724397552246,1.2994590009126972,1.347270353936379
"R5 · delta, full window",2,00000/828.mp4,late-all-window-local-5cases/case-2/vanilla-diffusion.mp4,c1e09c3742ae5ace249b804278ae6e78fe45ab938d98a9f7dcef48d4088c297d,late-all-window-local-5cases/case-2/guided-final.mp4,c68cc75164daab5507922d38aa1e8001b4491ee838d55b428e88dcf660fd8bd7,0.4315891408963208,0.4143259864886549,1.41108825345082,1.374530561494385
"R5 · delta, full window",3,00000/037.mp4,late-all-window-local-5cases/case-3/vanilla-diffusion.mp4,3e8b9e29a1c31a76a478dd8d16f99c30e24bcf3124e07c536aad091758621d98,late-all-window-local-5cases/case-3/guided-final.mp4,17c59b17cd847bad33f6063791350a029d76c28930ffc2362df02ca59268b6e3,0.36531239340351584,0.42723107788100906,1.2368238949031716,1.374099399639977
"R5 · delta, full window",4,00000/871.mp4,late-all-window-local-5cases/case-4/vanilla-diffusion.mp4,62acbd26998bf46711e6eaae35485349c14df553aa114ad56788fc39b8bdec27,late-all-window-local-5cases/case-4/guided-final.mp4,7d73f494b45a2ed9ccde5d670274be4651e82caae5bdf2042465eb4709046095,0.47630039629279614,0.6643800501915944,1.4565934196512722,1.6540460934332537
"R5 · delta, full window",5,00000/066.mp4,late-all-window-local-5cases/case-5/vanilla-diffusion.mp4,92a16ba5d85615b878e0d01ff4120fc6318acb35fe4c3f87508462de474eec54,late-all-window-local-5cases/case-5/guided-final.mp4,3f6dab9b5bed21f28778abe16713a3ab4ed6568d25972e1cbb9f3880a06c2065,0.5052730456668403,0.5013726931099687,1.6777511646473051,1.6750238925242533
"R5 · delta, endpoint",1,00000/164.mp4,late-endpoint-local-5cases/case-1/vanilla-diffusion.mp4,0fa97bf2c6e72cf6c5816f9f9bc70bd2c325b7d567c5e0910896a8c9ffa80703,late-endpoint-local-5cases/case-1/guided-final.mp4,0234c38d6231d1ca0162e3a961125e6c3d26d4d34462b56d135369424cf97737,0.348152258145308,0.3903518690933113,1.2994590009126972,1.3634793029860826
"R5 · delta, endpoint",2,00000/828.mp4,late-endpoint-local-5cases/case-2/vanilla-diffusion.mp4,c1e09c3742ae5ace249b804278ae6e78fe45ab938d98a9f7dcef48d4088c297d,late-endpoint-local-5cases/case-2/guided-final.mp4,69ff3c8fc2cdb5b0858ea0f9ad0c42bf313758d3c8292d8ac00047128a45ab91,0.4315891408963208,0.4257548200762758,1.41108825345082,1.3725424074754553
"R5 · delta, endpoint",3,00000/037.mp4,late-endpoint-local-5cases/case-3/vanilla-diffusion.mp4,3e8b9e29a1c31a76a478dd8d16f99c30e24bcf3124e07c536aad091758621d98,late-endpoint-local-5cases/case-3/guided-final.mp4,12a1c4eb82e6d9a0a04f771f8fd33289f5be69789e254c8113a73c512eb60d29,0.36531239340351584,0.40530317893303286,1.2368238949031716,1.4043704937889128
"R5 · delta, endpoint",4,00000/871.mp4,late-endpoint-local-5cases/case-4/vanilla-diffusion.mp4,62acbd26998bf46711e6eaae35485349c14df553aa114ad56788fc39b8bdec27,late-endpoint-local-5cases/case-4/guided-final.mp4,2fefd1d179646353b546249e0c134ac4c01063920611d1f28d4fe610ad3462a1,0.47630039629279614,0.6987732283828918,1.4565934196512722,1.8161782473331407
"R5 · delta, endpoint",5,00000/066.mp4,late-endpoint-local-5cases/case-5/vanilla-diffusion.mp4,92a16ba5d85615b878e0d01ff4120fc6318acb35fe4c3f87508462de474eec54,late-endpoint-local-5cases/case-5/guided-final.mp4,34163c75d859a1424bef793ee0145e3eab75270a9845a3270e78b1a63598aa67,0.5052730456668403,0.48385047501628115,1.6777511646473051,1.6392023729701413
"R5 · delta, full window, strict detection",1,00000/164.mp4,late-extra-invalid-full-window-5cases/case-1/vanilla-diffusion.mp4,0fa97bf2c6e72cf6c5816f9f9bc70bd2c325b7d567c5e0910896a8c9ffa80703,late-extra-invalid-full-window-5cases/case-1/guided-final.mp4,d541a682b7fb4ddd32325f4aeb4f1726632fe7b35172383ca97def3f5f5f9704,0.348152258145308,0.38066080959309057,1.2994590009126972,1.3116715804681132
"R5 · delta, full window, strict detection",2,00000/828.mp4,late-extra-invalid-full-window-5cases/case-2/vanilla-diffusion.mp4,c1e09c3742ae5ace249b804278ae6e78fe45ab938d98a9f7dcef48d4088c297d,late-extra-invalid-full-window-5cases/case-2/guided-final.mp4,447398eae018db5ff640c77b844938d857518cc8ef3f28a0bb1c4d8e8341f13e,0.4315891408963208,0.43959025464905255,1.41108825345082,1.4765924668183856
