run,source,original_metrics_available,scorable_ball_transitions,missing_ball_frames,wrong_color_ball_frames,extra_ball_frames,config_reference_mode,config_horizon,config_scale,config_color_tolerance,config_guide_start_step,config_threshold_factor,config_eps,config_max_guidance_updates_per_step,config_state_update_scope,config_guide_end_step,config_scale_end,config_final_guidance_scale,config_correction_scale_mode,config_gradient_path,config_gradient_normalization,config_source_revisit_policy,config_guidance_loss_space,config_reference_video_base,config_selection_seed,rollout_h1_error,rollout_h1_p95,rollout_h1_max,rollout_h5_error,rollout_h5_p95,rollout_h5_max,metric_video
h1-run-01-default,smallest-error-rollout-case2/h1-run-01-default/success-evaluation.json,False,209,0,3,0,smallest_error_direct,1,0.1,80,25,0.5,1e-06,50,,,,,,,,,,,,,,,,,,
h1-run-02-threshold0p9,smallest-error-rollout-case2/h1-run-02-threshold0p9/success-evaluation.json,False,27,37,25,36,smallest_error_direct,1,0.1,80,25,0.9,1e-06,50,,,,,,,,,,,,,,,,,,
h1-run-03-s0p03-u10,smallest-error-rollout-case2/h1-run-03-s0p03-u10/success-evaluation.json,False,149,13,2,11,smallest_error_direct,1,0.03,80,25,0.5,1e-06,10,,,,,,,,,,,,,,,,,,
h1-run-04-s0p03-t0p8-u30,smallest-error-rollout-case2/h1-run-04-s0p03-t0p8-u30/success-evaluation.json,False,14,74,34,39,smallest_error_direct,1,0.03,80,25,0.8,1e-06,30,,,,,,,,,,,,,,,,,,
h1-run-05-start40,smallest-error-rollout-case2/h1-run-05-start40/success-evaluation.json,False,77,21,34,8,smallest_error_direct,1,0.1,80,40,0.5,1e-06,50,,,,,,,,,,,,,,,,,,
h1-run-06-t0p6-u50,smallest-error-rollout-case2/h1-run-06-t0p6-u50/success-evaluation.json,False,122,16,4,15,smallest_error_direct,1,0.1,80,25,0.6,1e-06,50,,,,,,,,,,,,,,,,,,
h1-run-07-t0p55-u75,smallest-error-rollout-case2/h1-run-07-t0p55-u75/success-evaluation.json,False,126,11,8,7,smallest_error_direct,1,0.1,80,25,0.55,1e-06,75,,,,,,,,,,,,,,,,,,
h1-run-08-local-s0p03,smallest-error-rollout-case2/h1-run-08-local-s0p03/success-evaluation.json,False,120,17,4,11,smallest_error_direct,1,0.03,80,25,0.5,1e-06,50,target_slice,,,,,,,,,,,,,,,,,
h1-run-09-local-s0p01,smallest-error-rollout-case2/h1-run-09-local-s0p01/success-evaluation.json,False,60,43,1,31,smallest_error_direct,1,0.01,80,25,0.5,1e-06,50,target_slice,,,,,,,,,,,,,,,,,
h1-run-10-end45,smallest-error-rollout-case2/h1-run-10-end45/success-evaluation.json,False,204,0,3,0,smallest_error_direct,1,0.1,80,25,0.5,1e-06,50,all_future,45,,,,,,,,,,,,,,,,
h1-run-11-end46,smallest-error-rollout-case2/h1-run-11-end46/success-evaluation.json,False,209,2,0,0,smallest_error_direct,1,0.1,80,25,0.5,1e-06,50,all_future,46,,,,,,,,,,,,,,,,
h1-run-12-decay0p03,smallest-error-rollout-case2/h1-run-12-decay0p03/success-evaluation.json,False,13,51,43,39,smallest_error_direct,1,0.1,80,25,0.5,1e-06,50,all_future,,0.03,,,,,,,,,,,,,,,
h1-run-13-decay0p01,smallest-error-rollout-case2/h1-run-13-decay0p01/success-evaluation.json,False,220,0,0,0,smallest_error_direct,1,0.1,80,25,0.5,1e-06,50,all_future,,0.01,,,,,,,,,,,,,,,
h1-final-scale-0p05,smallest-error-rollout-case2/stopped-2026-09-03/h1-final-scale-0p05/success-evaluation.json,True,220,0,0,0,smallest_error_direct,1,0.7,80,25,0.5,1e-06,50,all_future,,0.2,0.05,sqrt_latent_loss,denoiser_jacobian,rms,until_threshold,encoded_latent,detected_redraw,0,0.3475556843024637,1.0088863072984011,2.0335118373861922,1.192731049615283,3.1790091799918074,4.563276156312212,smallest-error-rollout-case2/stopped-2026-09-03/h1-final-scale-0p05/guided-final.mp4
h1-final-scale-0p10,smallest-error-rollout-case2/stopped-2026-09-03/h1-final-scale-0p10/success-evaluation.json,True,220,0,0,0,smallest_error_direct,1,0.7,80,25,0.5,1e-06,50,all_future,,0.2,0.1,sqrt_latent_loss,denoiser_jacobian,rms,until_threshold,encoded_latent,detected_redraw,0,0.3194923774641326,0.9249257101362625,2.906194572277256,1.1458916508454084,2.9690984687927746,4.756194807803477,smallest-error-rollout-case2/stopped-2026-09-03/h1-final-scale-0p10/guided-final.mp4
h1-final-scale-0p15,smallest-error-rollout-case2/stopped-2026-09-03/h1-final-scale-0p15/success-evaluation.json,True,164,2,21,0,smallest_error_direct,1,0.7,80,25,0.5,1e-06,50,all_future,,0.2,0.15,sqrt_latent_loss,denoiser_jacobian,rms,until_threshold,encoded_latent,detected_redraw,0,0.5155998492241938,2.1120436102872677,3.9426335832083743,1.6175712217005371,4.233856898337446,7.679356734923797,smallest-error-rollout-case2/stopped-2026-09-03/h1-final-scale-0p15/guided-final.mp4
