case,video,steps,source,num_applied_updates,num_gradient_calls,num_model_calls,vanilla_rollout_h1_error,vanilla_rollout_h1_p95,vanilla_rollout_h1_max,vanilla_rollout_h5_error,vanilla_rollout_h5_p95,vanilla_rollout_h5_max,vanilla_scorable_ball_transitions,vanilla_missing_ball_frames,vanilla_wrong_color_ball_frames,vanilla_extra_ball_frames,vanilla_metric_video,guided_rollout_h1_error,guided_rollout_h1_p95,guided_rollout_h1_max,guided_rollout_h5_error,guided_rollout_h5_p95,guided_rollout_h5_max,guided_scorable_ball_transitions,guided_missing_ball_frames,guided_wrong_color_ball_frames,guided_extra_ball_frames,guided_metric_video
1,00000/164.mp4,10,best-rollout1-matched-10samples-5steps-v1/case-1/steps-10/diagnostics.json,0,0,10,0.25068235023295554,0.7522955687911383,5.281711688027903,1.194398078783817,3.7747685192655136,6.551561942557792,124,20,0,11,best-rollout1-matched-10samples-5steps-v1/case-1/steps-10/vanilla-diffusion.mp4,0.38458222243592083,0.9934202433837734,5.229729663296056,1.37131383895513,3.8548158181055756,6.192786956517403,124,20,0,11,best-rollout1-matched-10samples-5steps-v1/case-1/steps-10/guided-final.mp4
2,00000/828.mp4,10,best-rollout1-matched-10samples-5steps-v1/case-2/steps-10/diagnostics.json,0,0,10,0.1867778725108885,0.5823226223806516,0.9176718803919023,0.8231305852018023,2.7205235574443316,5.076240651817605,220,0,0,0,best-rollout1-matched-10samples-5steps-v1/case-2/steps-10/vanilla-diffusion.mp4,0.37493980677950056,1.1499366680159024,2.2592388559690666,1.3199700679207291,3.3502024650006588,4.5084327483895565,220,0,0,0,best-rollout1-matched-10samples-5steps-v1/case-2/steps-10/guided-final.mp4
3,00000/037.mp4,10,best-rollout1-matched-10samples-5steps-v1/case-3/steps-10/diagnostics.json,0,0,10,0.15538912378396,0.5238832682816361,1.1916010856605421,0.64993161684857,2.0317543871343724,4.670832174922922,220,0,0,0,best-rollout1-matched-10samples-5steps-v1/case-3/steps-10/vanilla-diffusion.mp4,0.34463730984101437,0.9358367761130786,2.2960255503706946,1.2023625035215049,3.092796005775138,6.908300068408929,220,0,0,0,best-rollout1-matched-10samples-5steps-v1/case-3/steps-10/guided-final.mp4
4,00000/871.mp4,10,best-rollout1-matched-10samples-5steps-v1/case-4/steps-10/diagnostics.json,0,0,10,0.29781447353061385,1.1481078573679488,3.1309462987489027,1.072313688261109,3.415362145186053,7.123993613786825,214,0,1,0,best-rollout1-matched-10samples-5steps-v1/case-4/steps-10/vanilla-diffusion.mp4,0.5114208097373183,2.1761541699277522,5.86727664793904,1.5979847210391445,5.617538822963338,8.479180650641634,214,0,1,0,best-rollout1-matched-10samples-5steps-v1/case-4/steps-10/guided-final.mp4
5,00000/066.mp4,10,best-rollout1-matched-10samples-5steps-v1/case-5/steps-10/diagnostics.json,0,0,10,0.7463756897250364,3.640956451720831,7.304184191421613,1.7577943135669083,5.9093219500412895,8.585292462996492,143,25,22,10,best-rollout1-matched-10samples-5steps-v1/case-5/steps-10/vanilla-diffusion.mp4,0.8678500233102088,3.4863436663661607,6.90618986508808,2.3433406948269107,6.236970082686903,9.038092166570538,54,26,54,10,best-rollout1-matched-10samples-5steps-v1/case-5/steps-10/guided-final.mp4
6,00000/704.mp4,10,best-rollout1-matched-10samples-5steps-v1/case-6/steps-10/diagnostics.json,0,0,10,0.2480315661101842,0.7143084223244744,2.171461677957601,1.1601601525830447,2.8614680969502215,6.70875626542351,70,23,1,30,best-rollout1-matched-10samples-5steps-v1/case-6/steps-10/vanilla-diffusion.mp4,0.4783839649189743,1.2525100518822783,3.461293526755263,1.71958922435081,4.331312656238153,7.375232118502108,175,0,0,8,best-rollout1-matched-10samples-5steps-v1/case-6/steps-10/guided-final.mp4
7,00000/967.mp4,10,best-rollout1-matched-10samples-5steps-v1/case-7/steps-10/diagnostics.json,0,0,10,0.29639637533339497,0.8843635102159418,6.097489624574309,1.3251652192916152,4.392738600893276,8.423826937663735,144,3,39,0,best-rollout1-matched-10samples-5steps-v1/case-7/steps-10/vanilla-diffusion.mp4,0.4488665629397887,1.3247587411723911,4.659916055439834,1.7462128231042762,4.667474308774828,9.120302847290613,144,15,16,14,best-rollout1-matched-10samples-5steps-v1/case-7/steps-10/guided-final.mp4
8,00001/016.mp4,10,best-rollout1-matched-10samples-5steps-v1/case-8/steps-10/diagnostics.json,0,0,10,0.4507563837224534,1.275527950297584,2.4462011803423844,1.5525383055537465,4.303994148303316,7.081217465666079,59,33,16,16,best-rollout1-matched-10samples-5steps-v1/case-8/steps-10/vanilla-diffusion.mp4,0.7214034948568784,1.8875806253725536,3.7582793424932577,2.1989181523919092,6.556065265086641,8.16368725775128,59,33,16,16,best-rollout1-matched-10samples-5steps-v1/case-8/steps-10/guided-final.mp4
9,00000/927.mp4,10,best-rollout1-matched-10samples-5steps-v1/case-9/steps-10/diagnostics.json,0,0,10,0.38216977121273715,1.8541563050848073,4.034336227946885,1.3259854736318666,5.352673369905049,8.519875680885196,220,0,0,0,best-rollout1-matched-10samples-5steps-v1/case-9/steps-10/vanilla-diffusion.mp4,0.49934750967426844,2.1729232410133137,5.4385920825464265,1.4183012403743422,4.880007019464746,8.055613747949204,214,0,1,0,best-rollout1-matched-10samples-5steps-v1/case-9/steps-10/guided-final.mp4
10,00000/221.mp4,10,best-rollout1-matched-10samples-5steps-v1/case-10/steps-10/diagnostics.json,0,0,10,0.2736708924275939,1.1071603536665025,2.818245494357474,0.9405424586396431,2.596107771451609,6.268467509993899,199,0,5,0,best-rollout1-matched-10samples-5steps-v1/case-10/steps-10/vanilla-diffusion.mp4,0.3934061218223088,1.2966435851889007,2.6086547177934287,1.4588897453114549,3.71315084670852,8.071900882474527,220,0,0,0,best-rollout1-matched-10samples-5steps-v1/case-10/steps-10/guided-final.mp4
