method,case,baseline,guided,guided_minus_baseline
Cleaned stitched endpoints,164,1.0272695854486664,1.3202098040830925,0.2929402186344261
Cleaned stitched endpoints,828,1.0217760719224382,1.0464917933169178,0.02471572139447953
Cleaned stitched endpoints,037,1.14981425878602,1.488164846828981,0.3383505880429609
Cleaned stitched endpoints,871,0.9398955894612115,0.8116154277902747,-0.1282801616709368
Continuous local trajectory,037,0.9376843020700228,0.8909778848015452,-0.046706417268477685
Continuous local trajectory,164,1.0548761863693412,1.068602157225146,0.013725970855804848
Continuous local trajectory,828,0.9219052911549385,0.9430897758325567,0.021184484677618243
Continuous local trajectory,871,0.771929524766715,0.814263383893818,0.04233385912710308
Score-checked updates,seed 0,1.0272695854486664,1.0742705999504507,0.04700101450178429
Score-checked updates,seed 1,1.0607287150638012,1.013192990708569,-0.04753572435523212
