condition,method,relative_improvement_percent
1ball-25f,gaussian,-0.024466501926687905
1ball-25f,absolute,-0.3986097810004322
1ball-25f,delta,0.09303541241903764
1ball-25f,oracle,36.6799782171331
1ball-49f,gaussian,-0.010232729869245992
1ball-49f,absolute,2.0746213647124403
1ball-49f,delta,-0.005914049098107343
1ball-49f,oracle,39.738131123148236
5ball-25f,gaussian,-0.24227619350968585
5ball-25f,absolute,0.7179681272338979
5ball-25f,delta,-0.654935885506324
5ball-25f,oracle,16.12270689867797
5ball-33f,gaussian,-0.09756657268916491
5ball-33f,absolute,0.15757090056842785
5ball-33f,delta,-0.10397997648751917
5ball-33f,oracle,19.38028623297239
5ball-41f,gaussian,0.026448747632541212
5ball-41f,absolute,-0.14406066523238595
5ball-41f,delta,-0.15205236050083626
5ball-41f,oracle,32.2298243882573
5ball-49f,gaussian,0.15637268891783232
5ball-49f,absolute,0.07961473611085287
5ball-49f,delta,0.11923232644255423
5ball-49f,oracle,34.92415905170201
