method,case,baseline_original_rollout_h5,guided_original_rollout_h5,guided_minus_baseline,baseline_scorable_pairs,guided_scorable_pairs,accepted_updates
"Delta, full window",1,1.2994590009126972,1.347270353936379,0.04781135302368189,213,220,17
"Delta, full window",2,1.41108825345082,1.374530561494385,-0.03655769195643499,90,90,9
"Delta, full window",3,1.2368238949031716,1.374099399639977,0.1372755047368055,220,220,30
"Delta, full window",4,1.4565934196512722,1.6540460934332537,0.1974526737819815,207,213,14
"Delta, full window",5,1.6777511646473051,1.6750238925242533,-0.002727272123051794,160,160,21
"Delta, endpoint",1,1.2994590009126972,1.3634793029860826,0.06402030207338538,213,220,15
"Delta, endpoint",2,1.41108825345082,1.3725424074754553,-0.0385458459753647,90,90,10
"Delta, endpoint",3,1.2368238949031716,1.4043704937889128,0.1675465988857412,220,220,23
"Delta, endpoint",4,1.4565934196512722,1.8161782473331407,0.3595848276818685,207,207,16
"Delta, endpoint",5,1.6777511646473051,1.6392023729701413,-0.03854879167716385,160,160,21
"Delta, full + strict validity",1,1.2994590009126972,1.3116715804681132,0.012212579555415992,213,220,20
"Delta, full + strict validity",2,1.41108825345082,1.4765924668183856,0.06550421336756562,55,55,7
"Delta, full + strict validity",3,1.2368238949031716,1.3159569997399139,0.0791331048367423,220,220,18
"Delta, full + strict validity",4,1.4565934196512722,1.5464509546450058,0.08985753499373361,207,213,18
"Delta, full + strict validity",5,1.6777511646473051,1.619512809072103,-0.05823835557520218,148,148,17
"Delta, endpoint + strict validity",1,1.2994590009126972,1.296522055206675,-0.0029369457060222093,213,220,17
"Delta, endpoint + strict validity",2,1.41108825345082,1.4608308247601547,0.04974257130933468,55,155,19
"Delta, endpoint + strict validity",3,1.2368238949031716,1.379161307303676,0.14233741240050435,220,220,27
"Delta, endpoint + strict validity",4,1.4565934196512722,1.6897544040798134,0.23316098442854116,207,167,20
"Delta, endpoint + strict validity",5,1.6777511646473051,1.5461539929737063,-0.13159717167359886,148,148,15
"Direct target, full window",1,1.2994590009126972,1.3101758373723946,0.010716836459697454,213,220,21
"Direct target, full window",2,1.41108825345082,1.4190113065042071,0.007923053053387141,55,165,19
"Direct target, full window",3,1.2368238949031716,1.400165196956045,0.16334130205287334,220,220,22
"Direct target, full window",4,1.4565934196512722,1.7045003266980194,0.24790690704674723,207,214,17
"Direct target, full window",5,1.6777511646473051,1.4555060196197933,-0.2222451450275118,148,214,14
"Direct target, endpoint",1,1.2994590009126972,1.2727356401726964,-0.026723360740000812,213,220,19
"Direct target, endpoint",2,1.41108825345082,1.4129524494376287,0.0018641959868086477,55,160,20
"Direct target, endpoint",3,1.2368238949031716,1.418939976755256,0.1821160818520844,220,220,23
"Direct target, endpoint",4,1.4565934196512722,1.7879582149514988,0.33136479530022656,207,213,15
"Direct target, endpoint",5,1.6777511646473051,1.6106431561946393,-0.06710800845266585,148,148,20
