balls,generated_frames,metric,clips,mean,sd,p16,median,p84
1,20,total,1024,18.833185813659735,3.201596283394924,15.88437352914586,18.59563041254239,21.581362484651816
1,20,per_number,1024,4.575284685454442,1.6241129755888641,3.164318243058524,4.334118937587242,5.827497971122293
1,20,rmse_per_component,1024,2.105614185611393,0.3579493463090865,1.775926949558419,2.079054684345362,2.4128696781372607
1,28,total,1024,22.923955260102506,3.037875834507466,19.93838010626211,22.793408792392874,25.768348812970913
1,28,per_number,1024,4.783409743207276,1.2971302443160433,3.551165839029389,4.64230270096279,5.934334436043895
1,28,rmse_per_component,1024,2.1661101672929366,0.2870522847142702,1.8839998323802545,2.1537746855751645,2.434880094853124
1,36,total,1024,25.72030157644678,2.967324262234341,22.810550245672772,25.610291052754956,28.551784621275306
1,36,per_number,1024,4.663657290917923,1.0940253515525273,3.615106168848455,4.561313684740373,5.662433828396618
1,36,rmse_per_component,1024,2.1433584647038986,0.24727702185286174,1.9008791871393977,2.1341909210629133,2.3793153851062754
1,44,total,1024,27.729898899985827,2.970107594803359,24.906197658638607,27.698077961657745,30.357584512711384
1,44,per_number,1024,4.425748926577702,0.9716231361132952,3.5258955305441053,4.3637196897820685,5.238199831106352
1,44,rmse_per_component,1024,2.0902197755850436,0.2238802836124471,1.8773752860939186,2.087821182109787,2.2882890311401756
2,20,total,1024,52.01254962849383,6.971625082997294,45.268590517128466,51.23211644456542,58.13945077143138
2,20,per_number,1024,17.228686505442482,4.815334228315016,12.817737661976945,16.418798596285384,21.133944985426297
2,20,rmse_per_component,1024,4.111953093464628,0.5511553563757966,3.5787963124906375,4.050254432894857,4.596327158723917
2,28,total,1024,62.17125491521269,8.724833194316949,53.85073338723998,61.32001036140579,70.26883342271496
2,28,per_number,1024,17.6156742180156,5.127381346417255,12.961647779151345,16.79574037000365,22.063873097943027
2,28,rmse_per_component,1024,4.153991699973416,0.5829524387479731,3.598053470742153,4.0971155308180105,4.695033922073019
2,36,total,1024,70.8319455015068,8.33426164647366,62.495036541203085,70.30910255667212,78.47851994036886
2,36,per_number,1024,17.679754255980004,4.295125144351269,13.56855244893103,17.171093354468056,21.417346580369408
2,36,rmse_per_component,1024,4.1738124157292855,0.4911010772003738,3.6825553440654817,4.14300359974694,4.6243911356098755
2,44,total,1024,77.10868008244297,8.400915191611846,68.70363250256453,76.56621446512949,85.04314366314294
2,44,per_number,1024,17.103024571741734,3.8204448205474484,13.413906234311908,16.665091399183495,20.56088571177102
2,44,rmse_per_component,1024,4.109906457703108,0.4477702842235939,3.661915916444839,4.0809929431507275,4.532814787528792
3,20,total,1024,64.98907576644994,8.47605310377244,56.980090473929366,63.656456544327845,73.70862929224464
3,20,per_number,1024,17.911569699849075,4.844559964845819,13.535529185314443,16.88754016275314,22.64187617759607
3,20,rmse_per_component,1024,4.195026802147877,0.5471268752080057,3.6780490245153383,4.109006601245964,4.75787156201066
3,28,total,1024,80.36248394421453,9.889781129407687,70.31866750952119,79.88811631562405,90.46837641441515
3,28,per_number,1024,19.521832713969275,4.839608279440989,14.72574008572978,19.005553204279824,24.368649319624055
3,28,rmse_per_component,1024,4.3841329251075765,0.5395317932387689,3.8361978170334847,4.35825404933076,4.935454558557322
3,36,total,1024,91.11822555697043,10.339353085026199,80.99115937890433,89.87823128574792,101.9479147103064
3,36,per_number,1024,19.47387383970598,4.457621414976547,15.201098652590202,18.705761078641512,24.06049886905607
3,36,rmse_per_component,1024,4.383927671116493,0.49745235724053855,3.896688972449191,4.324268418926167,4.904971333443034
3,44,total,1024,97.5891401577006,10.383343639912315,86.59354811511379,97.39723120262389,108.2512512159106
3,44,per_number,1024,18.246895687824985,3.9074539120805563,14.204122654938576,17.976659343287707,22.194777731215098
3,44,rmse_per_component,1024,4.247022191346145,0.45187703045460986,3.7685004691914865,4.238670426081979,4.7110310164842755
5,20,total,1024,87.3203304225622,7.828876779753488,79.13057988037586,86.85649972237547,95.5417786811
5,20,per_number,1024,19.222664827634173,3.467081869138756,15.666364415331204,18.864037347562626,22.839939596885124
5,20,rmse_per_component,1024,4.366016521128111,0.3914438389876744,3.956528994018793,4.342824986118773,4.777088934055
5,28,total,1024,102.76823170977457,10.146877809503192,91.80926237607318,102.71414011662725,113.4185303643564
5,28,per_number,1024,19.0514424623944,3.7521659610115696,15.062680377619882,18.852415399492326,22.97724872745824
5,28,rmse_per_component,1024,4.342750414022102,0.42878384764559957,3.879649436031248,4.340464627017427,4.792807675124563
5,36,total,1024,111.75905389406199,10.286518578953832,100.68588649069284,111.38999650606803,122.70921961616655
5,36,per_number,1024,17.501116346230525,3.2228542130554163,14.084797244681242,17.239389391499223,20.922225503119098
5,36,rmse_per_component,1024,4.165014026803086,0.383355913239255,3.752341442800282,4.151260070017202,4.573102608794984
5,44,total,1024,119.86933164779263,11.101818048236732,107.92946414548186,119.90771797662875,131.52079318285402
5,44,per_number,1024,16.47132777605151,3.0389553387564865,13.238316725119976,16.33941751370846,19.656974598840257
5,44,rmse_per_component,1024,4.040794345525128,0.3742422100606571,3.638301494130764,4.042088348406216,4.433565033746834
