frames,steps,guide,tag,strength,seeds,rollout_paper_h1,rollout_paper_h1_sd,rollout_paper_h5,rollout_paper_h5_sd,gt_error,gt_error_sd,rollout_h1,rollout_h1_sd,rollout_h5,rollout_h5_sd,invalid_frame_rate,invalid_frame_rate_sd
25,20,none,,0.0,3,0.14597016040179703,0.003909493334201079,0.6928458355721347,0.011685651492889316,1.3178320028359618,0.008124226555033295,0.06823115702705214,0.002369607378267552,0.45513839622900476,0.009470963968339172,0.14730282738095238,0.0035167566363382328
25,20,oracle,,1.0,3,0.055864894147097006,0.0021376912128145535,0.25926866930367803,0.009152578493518524,0.07160378533002461,0.0023536320923111176,0.03324142033561615,0.0009325116829384252,0.1221746609034272,0.004198335725170967,0.019921875,0.0019443360926545028
25,20,rollout1,,0.3,3,0.11263414697012304,0.0033567146077795023,0.5977667631190741,0.012905874692634762,1.2588278467417302,0.007374069700446422,0.04958550720330066,0.0014561578146988195,0.3748103658280216,0.009065292090344441,0.08322172619047619,0.0015426657080815
25,20,rollout5,,1.0,3,0.11075600570352068,0.0017200898706377502,0.49769877663491263,0.009126752137371377,1.0769948838347891,0.012577728215946117,0.059714322185033086,0.00018778283273515955,0.3005377049315873,0.005125049485050779,0.08578869047619048,0.004108884664516079
25,50,none,,0.0,3,0.14287842267182213,0.0033083403526412885,0.6913342715179812,0.011296532182127119,1.3249078085778982,0.00802635538547619,0.06451897503056928,0.0019886475167527435,0.4543447009874984,0.008657121163046616,0.14973958333333334,0.003290781393323233
25,50,oracle,,1.0,3,0.025930798379050702,0.00124986125827684,0.14689066974845175,0.0053575800077176085,0.03166702871234986,0.0013972540944538869,0.015087792746769885,0.0006694712591877212,0.0559030743735782,0.0030869030474813004,0.0044456845238095245,0.0007843440715144353
25,50,rollout1,,1.0,3,0.0986318258422898,0.0012925173883318905,0.5503878057036435,0.004674675200730418,1.217528887877284,0.005351165445199526,0.04508827798776293,0.000353645389010214,0.35524471282875597,0.002279628473358559,0.06138392857142857,0.00227817126374923
25,50,rollout5,,1.0,3,0.09289258207988793,0.0016221792289316094,0.45286376588865784,0.00835135735301734,1.0555892341533415,0.012785174367714015,0.04528552224906383,0.00016974279314901214,0.27872474564805366,0.005432850046197844,0.06404389880952382,0.0020931092383483724
25,100,none,,0.0,3,0.14191499128720683,0.003149351970556597,0.6917885064821626,0.010727564544228218,1.327820238183533,0.008052620880331698,0.06357044014813877,0.0019497975072927877,0.4553804160144607,0.00866286349745135,0.14931175595238097,0.003626325817783134
25,100,oracle,,1.0,3,0.01772421827578226,0.0009291302497599798,0.11339057120344292,0.004459755015064315,0.019987574226281866,0.0012227359151372522,0.00992165919178911,0.0005997655664174311,0.03737753809963121,0.002861153761512206,0.0028273809523809523,0.0006202876488293552
25,100,rollout1,,1.0,3,0.09575715839161836,0.0014619412862108602,0.5441564851073667,0.00612005388010546,1.210549045409145,0.006875927213314408,0.042776145529161064,0.00020189841148927646,0.35462136953045603,0.003463198273060509,0.05954241071428571,0.002861078367496681
25,100,rollout5,,1.0,3,0.08942429438290433,0.0014912962968816313,0.44526282557437885,0.00961478052859319,1.049695039784418,0.013731779171133558,0.04241508364856968,0.00027104729369393425,0.27658333002365526,0.005368202202344067,0.05909598214285714,0.0011445401832526185
33,20,none,,0.0,3,0.1620230144795758,0.006005400999959916,0.8405147086663134,0.023389452389974294,2.0849002676096817,0.015029340468400548,0.07197620143701923,0.002645983590691819,0.5278597975354457,0.013387335107704531,0.16499255952380953,0.012312810770196478
33,20,oracle,,1.0,3,0.0667092419348438,0.003685242944558896,0.31885740257186,0.014490319644725812,0.0817628706672247,0.0034198314159959364,0.03722683680566599,0.0014850040650504434,0.15990313413764404,0.008314006733996026,0.027782206632653055,0.0018442019727413783
33,20,rollout1,,0.3,3,0.12652435307480556,0.005304836124751444,0.7081754496739988,0.024843594022188557,2.011244497313847,0.01906310424501546,0.054818476584166144,0.0016666267290864347,0.43615904752546003,0.01439932337012315,0.10654496173469387,0.007414545931640706
33,20,rollout5,,1.0,3,0.12344039609314465,0.004224952016184153,0.5957279761329047,0.018242291524415553,1.8198755575983412,0.027181452825685043,0.06386329527288902,0.0018267411551296468,0.36088583659273743,0.012127309179051058,0.10480442176870748,0.005123413715220874
33,50,none,,0.0,3,0.1582765765074786,0.00630087482948303,0.8376120809468713,0.024976143624635485,2.0984038620227112,0.014358129862832941,0.06799897678111749,0.002755742730376759,0.5232110100021151,0.014729628171665272,0.1686596513605442,0.012032977821892906
33,50,oracle,,1.0,3,0.03004568026121356,0.001208849396817029,0.16949938319156233,0.006551004263163978,0.03367978231635723,0.0013237184472296114,0.016235975009061054,0.0005652468198843075,0.0729713069130577,0.00447674654902673,0.0059125212585034006,0.00022153130315334123
33,50,rollout1,,1.0,3,0.11088089709944748,0.004345267133303867,0.6489030200994033,0.022524881652238864,1.964631799692869,0.025479923107051102,0.05050574663485855,0.0014945229794168324,0.41850224643517,0.015441157394928844,0.08466198979591837,0.0024258807485176897
33,50,rollout5,,1.0,3,0.10591815649275384,0.004171656259453408,0.5503985347184988,0.01651950376624983,1.7952434764020335,0.02311517519234445,0.049658638114491165,0.0016830657845099987,0.3377273676293809,0.011337626579541253,0.08056972789115645,0.0018668450736074084
33,100,none,,0.0,3,0.15749102360095338,0.006144975240039657,0.8373062483770063,0.024962111825323707,2.103086085052581,0.013598958218391237,0.06706618092712147,0.0026415585978060686,0.5235404036925321,0.015039626683051558,0.16828762755102042,0.011712285704356782
33,100,oracle,,1.0,3,0.01927474867342784,0.0008094652598156953,0.12009169691853434,0.004991530763667405,0.01998293693086042,0.001171902164790441,0.010361760834214863,0.0003498158173910092,0.04683847439269462,0.004108102418214539,0.0028964710884353735,0.00037438889252777886
33,100,rollout1,,1.0,3,0.10682869050175149,0.004045620418519927,0.6401174458380399,0.0208944146421268,1.9609002121154913,0.024301011833979844,0.04789960250644496,0.0015079767121923442,0.41605715633215556,0.015516729230576029,0.08035714285714284,0.004133637953995394
33,100,rollout5,,1.0,3,0.101591211853503,0.004003419318081051,0.5397623159715966,0.016664693660728713,1.7852935675751465,0.021650818832414202,0.046539713146995156,0.0015582762902658178,0.334393844285713,0.01009954407246279,0.07400616496598639,0.0026584420432766392
41,20,none,,0.0,3,0.1646558552532311,0.0013076397021222722,0.8886224152777987,0.005197441424599689,2.580912438812239,0.013112920596073559,0.0711065736786482,0.0009273505163270398,0.5385230759875528,0.00490607466038897,0.1681650958994709,0.004544044431099533
41,20,oracle,,1.0,3,0.07524277390987161,0.002246922761636802,0.3693582968083707,0.010100732655293246,0.09685333966219917,0.004280540360133891,0.040731121034885596,0.0012272827801744028,0.19038670062379304,0.006541352784035159,0.035631613756613764,0.0012692737151987668
41,20,rollout1,,0.3,3,0.13178629269922454,0.0016012368152401018,0.7560322661901395,0.010789406983510004,2.510897223606932,0.004235059498021928,0.05630213797995207,0.0005246463404246339,0.4537542322154529,0.006614669956789563,0.11435598544973545,0.0030436026757479323
41,20,rollout5,,1.0,3,0.13379903745135063,0.0016349677365861128,0.6621087681927891,0.0072004229414088594,2.373437919083762,0.008617384598214112,0.06854160717069978,0.0006803217392736578,0.39147406786835126,0.003333459069612893,0.12301587301587302,0.0036234763969538184
41,50,none,,0.0,3,0.15984931569547436,0.0018910105489183017,0.8801870595640277,0.005613711025488277,2.6016483371985393,0.013956041175997962,0.06685268967582082,0.0012198489902494078,0.5309551246771024,0.005163121251156994,0.17240203373015872,0.005046947817344523
41,50,oracle,,1.0,3,0.03140507926026423,0.0010935323637275287,0.18111055387166974,0.005840652602635217,0.03799318115980539,0.0017102759296954366,0.016825783505647313,0.0005634924115049571,0.08187528175862845,0.003979379801208637,0.006985780423280424,0.0003731702646591392
41,50,rollout1,,1.0,3,0.11532839453886308,0.0015063504889297062,0.6866086788899297,0.010834070606099243,2.4915261113465355,0.006237441019307847,0.051947069938537614,0.00035692299980638283,0.4320513506406307,0.007937555448854716,0.0925925925925926,0.002060381903204629
41,50,rollout5,,1.0,3,0.11425828168010144,0.002019271684384531,0.6093097320654848,0.008119371547159622,2.343398938370612,0.010082293171797731,0.05331068318113206,0.000514197852005093,0.3667886242127703,0.004194799733146685,0.095713458994709,0.006617566177139902
41,100,none,,0.0,3,0.15879394345730305,0.0024492928210707652,0.8784098728542923,0.007264886129449887,2.6086479716211657,0.014130853838624096,0.06558076639842843,0.0013424027616811827,0.5298060419987226,0.0047962920415046085,0.1709656084656085,0.00615316279062402
41,100,oracle,,1.0,3,0.019577220132677556,0.0006793287178744457,0.12278308443073234,0.0033415536140421493,0.02204030490682185,0.0006526884344932543,0.01041769426534254,0.00037852413808622186,0.049655633352800176,0.0019591146134197335,0.0032862103174603175,0.00014093689749696055
41,100,rollout1,,1.0,3,0.11252089290448447,0.0006952115132245796,0.6832095574762843,0.008919271823967853,2.4916204904265515,0.008138289608176242,0.04976499002603735,0.0006162043991946413,0.43416857275569737,0.00825477505528386,0.08901703042328042,0.0037804910907796997
41,100,rollout5,,1.0,3,0.10972840260953236,0.0010557140893004036,0.596361706535557,0.006385903615232677,2.328143468825756,0.010381642171525393,0.050188243283468624,0.00030178007431494523,0.36299196808682277,0.004225822084891727,0.0876839451058201,0.005016215131103643
49,20,none,,0.0,3,0.16371623959242762,0.004047796056676485,0.8995604822597638,0.014333612353574913,2.91024593478134,0.013421811997476982,0.06894971826474337,0.002676848719744854,0.5341605954371956,0.010568320458267532,0.1650771103896104,0.007006415535507996
49,20,oracle,,1.0,3,0.07943711436621813,0.000984844990427208,0.3897651098593869,0.003896373248991101,0.11083017782779465,0.0030996530075005427,0.04238639483225742,0.0003258608325921659,0.20333594601862306,0.0008880291423073483,0.039054044913419905,0.0013380959223525599
49,20,rollout1,,0.3,3,0.1315162189811158,0.0031750856935720286,0.7655660537795699,0.011785440594749017,2.848717925440211,0.009717367571524796,0.055643234410641514,0.0016230482563053393,0.4543483377076822,0.007467632548128216,0.11260484307359304,0.007768572935589839
49,20,rollout5,,0.3,3,0.12316856970575012,0.003748994906220899,0.698982826587422,0.01503495142445572,2.7921512122374015,0.0095389107881057,0.05332680343071584,0.0019832625129712566,0.4018595704980072,0.009261940900889882,0.11098992153679653,0.007606993984694848
49,50,none,,0.0,3,0.15871098211179813,0.0042295544223886275,0.8882317605048797,0.014117512835231088,2.933927104330138,0.012102146762497854,0.06482155451777549,0.0028099542545528657,0.525407215177005,0.011862706396460348,0.16864515692640691,0.009403759305726612
49,50,oracle,,1.0,3,0.0330801590670865,0.0002896672506113043,0.18781475986692817,0.0017827384126570583,0.04150892732214545,0.0011351424770955187,0.017486738177300076,0.00012165382044202157,0.0896748133023178,0.0009792751575754934,0.007634943181818181,0.0005416537262597048
49,50,oracle,late,10.0,3,0.11651113011880442,0.0016941851435973208,0.4272073932859743,0.004501349028334217,0.17975845411559385,0.0022297515647929866,0.0730504419811059,0.0010609060135568136,0.20796289738800647,0.0029066871787167166,0.05634469696969696,0.0007439515323139506
