balls,frames,model,seed,gt_error,rollout_paper_h1,rollout_paper_h5
1,25,bidirectional,0,0.024469,0.008995,0.039103
1,25,bidirectional,1,0.023866,0.008007,0.036051
1,25,bidirectional,2,0.023331,0.008059,0.036103
1,33,bidirectional,0,0.031261,0.008487,0.034817
1,33,bidirectional,1,0.030768,0.008272,0.033961
1,33,bidirectional,2,0.030584,0.008318,0.034250
1,41,bidirectional,0,0.040878,0.008003,0.031868
1,41,bidirectional,1,0.036368,0.007844,0.031367
1,41,bidirectional,2,0.037770,0.007915,0.031678
1,49,bidirectional,0,0.046141,0.007596,0.029836
1,49,bidirectional,1,0.040148,0.007806,0.030025
1,49,bidirectional,2,0.043886,0.007718,0.030128
1,25,block 4,0,0.020102,0.006337,0.031730
1,25,block 4,1,0.019827,0.006321,0.031493
1,25,block 4,2,0.020809,0.006859,0.032832
1,33,block 4,0,0.027194,0.005846,0.026764
1,33,block 4,1,0.027472,0.006102,0.027647
1,33,block 4,2,0.027202,0.005983,0.027156
1,41,block 4,0,0.030898,0.005617,0.024381
1,41,block 4,1,0.035984,0.006427,0.026963
1,41,block 4,2,0.033881,0.006106,0.025937
1,49,block 4,0,0.039417,0.005349,0.022315
1,49,block 4,1,0.039396,0.005686,0.023229
1,49,block 4,2,0.040931,0.005521,0.023148
2,25,bidirectional,0,0.413740,0.040924,0.175107
2,25,bidirectional,1,0.421282,0.041657,0.176317
2,25,bidirectional,2,0.432347,0.041696,0.180752
2,33,bidirectional,0,0.856250,0.058159,0.261127
2,33,bidirectional,1,0.826470,0.059877,0.265049
2,33,bidirectional,2,0.854749,0.061444,0.269767
2,41,bidirectional,0,1.542649,0.060583,0.299185
2,41,bidirectional,1,1.529509,0.057438,0.284078
2,41,bidirectional,2,1.534789,0.063443,0.307854
2,49,bidirectional,0,2.157487,0.065480,0.336492
2,49,bidirectional,1,2.157145,0.067369,0.341122
2,49,bidirectional,2,2.154866,0.069136,0.352246
3,25,bidirectional,0,0.830452,0.089605,0.404149
3,25,bidirectional,1,0.834029,0.078371,0.369151
3,25,bidirectional,2,0.840376,0.082553,0.376686
3,33,bidirectional,0,1.637060,0.111953,0.565895
3,33,bidirectional,1,1.597879,0.105072,0.537864
3,33,bidirectional,2,1.604994,0.105564,0.538367
3,41,bidirectional,0,2.227778,0.117744,0.632913
3,41,bidirectional,1,2.209370,0.114443,0.610712
3,41,bidirectional,2,2.234592,0.115097,0.605530
3,49,bidirectional,0,2.611178,0.118373,0.649244
3,49,bidirectional,1,2.591300,0.119032,0.646946
3,49,bidirectional,2,2.610346,0.115804,0.633381
5,25,bidirectional,0,1.323314,0.142051,0.693700
5,25,bidirectional,1,1.312032,0.137185,0.674680
5,25,bidirectional,2,1.315442,0.141541,0.683964
5,33,bidirectional,0,2.095992,0.163060,0.864101
5,33,bidirectional,1,2.052566,0.150554,0.807429
5,33,bidirectional,2,2.088821,0.160828,0.847165
5,41,bidirectional,0,2.611956,0.157781,0.873636
5,41,bidirectional,1,2.596860,0.159627,0.877640
5,41,bidirectional,2,2.624798,0.165576,0.902388
5,49,bidirectional,0,2.936547,0.160089,0.893982
5,49,bidirectional,1,2.921415,0.161361,0.894239
5,49,bidirectional,2,2.926168,0.153153,0.867176
5,25,block 4,0,0.802502,0.037087,0.233765
5,25,block 4,1,0.788706,0.035107,0.227818
5,25,block 4,2,0.784472,0.036696,0.236308
5,33,block 4,0,1.448880,0.036565,0.237295
5,33,block 4,1,1.449476,0.036649,0.237095
5,33,block 4,2,1.466840,0.037093,0.242020
5,41,block 4,0,2.006917,0.036674,0.238908
5,41,block 4,1,1.981001,0.034506,0.229849
5,41,block 4,2,1.976726,0.034985,0.230988
5,49,block 4,0,2.351907,0.033281,0.219634
5,49,block 4,1,2.341502,0.034494,0.224193
5,49,block 4,2,2.380534,0.033560,0.224011
