sweep,value,seed,gt_error,rollout_paper_h1,rollout_paper_h5
block size,44,0,2.936547,0.160089,0.893982
block size,44,1,2.921415,0.161361,0.894239
block size,44,2,2.926168,0.153153,0.867176
block size,22,0,2.794284,0.139427,0.760139
block size,22,1,2.778730,0.131612,0.728873
block size,22,2,2.806136,0.135925,0.748697
block size,11,0,2.589150,0.076931,0.449249
block size,11,1,2.604089,0.084502,0.490670
block size,11,2,2.606070,0.083206,0.479178
block size,4,0,2.351907,0.033281,0.219634
block size,4,1,2.341502,0.034494,0.224193
block size,4,2,2.380534,0.033560,0.224011
block size,1,0,2.118418,0.014180,0.114884
block size,1,1,2.117832,0.013058,0.108855
block size,1,2,2.107848,0.013034,0.106263
depth at width 256,4,0,3.142075,0.232587,1.175065
depth at width 256,4,1,3.164413,0.221648,1.141408
depth at width 256,4,2,3.152618,0.226405,1.153454
depth at width 256,8,0,2.936547,0.160089,0.893982
depth at width 256,8,1,2.921415,0.161361,0.894239
depth at width 256,8,2,2.926168,0.153153,0.867176
depth at width 256,16,0,2.784552,0.130572,0.763906
depth at width 256,16,1,2.791657,0.130043,0.759556
depth at width 256,16,2,2.784676,0.131554,0.770417
depth at width 256,32,0,2.710741,0.124136,0.727578
depth at width 256,32,1,2.689938,0.117878,0.705830
depth at width 256,32,2,2.699475,0.120537,0.717954
width at depth 8,128,0,3.099440,0.203468,1.071287
width at depth 8,128,1,3.072058,0.202541,1.066656
width at depth 8,128,2,3.120371,0.213786,1.109133
width at depth 8,256,0,2.936547,0.160089,0.893982
width at depth 8,256,1,2.921415,0.161361,0.894239
width at depth 8,256,2,2.926168,0.153153,0.867176
width at depth 8,512,0,2.808384,0.145846,0.844766
width at depth 8,512,1,2.810721,0.149257,0.862420
width at depth 8,512,2,2.796987,0.145989,0.840371
"noise schedule, bidirectional",shift 1,0,2.936547,0.160089,0.893982
"noise schedule, bidirectional",shift 1,1,2.921415,0.161361,0.894239
"noise schedule, bidirectional",shift 1,2,2.926168,0.153153,0.867176
"noise schedule, bidirectional",shift 5,0,2.993889,0.203973,1.040442
"noise schedule, bidirectional",shift 5,1,2.981239,0.207648,1.057098
"noise schedule, bidirectional",shift 5,2,2.946326,0.201429,1.034979
"noise schedule, block 4",shift 1,0,2.351907,0.033281,0.219634
"noise schedule, block 4",shift 1,1,2.341502,0.034494,0.224193
"noise schedule, block 4",shift 1,2,2.380534,0.033560,0.224011
"noise schedule, block 4",shift 5,0,2.424125,0.050142,0.280121
"noise schedule, block 4",shift 5,1,2.440885,0.051308,0.284576
"noise schedule, block 4",shift 5,2,2.453499,0.051475,0.283621
